Question,Total_Marks,Human_Grade,GPT_Grade_NM,GPT_Grade_M,Normal_HG,Normal_GPT_NM,Normal_GPT_M,std_dev_HG,std_dev_GPT_NM,std_dev_GPT_M,Norm_std_dev_HG,Norm_std_dev_GPT_NM,Norm_std_dev_GPT_M
1,8,6.5,8,5.333333333,0.8125,1,0.666666667,0.707106781,0,0.577350269,0.088388348,0,0.072168784
2,5,4,5,5,0.8,1,1,0,0,0,0,0,0
3,14,5.5,10.66666667,6,0.392857143,0.761904762,0.428571429,0.707106781,2.081665999,2.645751311,0.066291261,0.195156187,0.188982237
4,11,9.5,9,8.666666667,0.863636364,0.818181818,0.787878788,0.707106781,1,0.577350269,0.07856742,0.111111111,0.052486388
5,11,1,1,0,0.090909091,0.090909091,0,0,1,0,0,1,0
6,5,4,5,5,0.8,1,1,0,0,0,0,0,0
7,6,5,4.666666667,3.333333333,0.833333333,0.777777778,0.555555556,1.414213562,0.577350269,1.154700538,0.303045763,0.123717915,0.19245009
8,6,6,5.666666667,6,1,0.944444444,1,0,0.577350269,0,0,0.101885342,0
9,15,12,15,12.33333333,0.8,1,0.822222222,1.414213562,0,2.516611478,0.094280904,0,0.167774099
10,7,1.5,2.333333333,1,0.214285714,0.333333333,0.142857143,0.707106781,1.154700538,1,0.303045763,0.494871659,0.142857143
1,8,8,7,5.333333333,1,0.875,0.666666667,0,0,0.577350269,0,0,0.072168784
2,5,4.5,4,5,0.9,0.8,1,0.707106781,0,0,0.176776695,0,0
3,14,4,10.66666667,6,0.285714286,0.761904762,0.428571429,0,1.154700538,2.645751311,0,0.108253176,0.188982237
4,11,5.5,4.333333333,1.666666667,0.5,0.393939394,0.151515152,0.707106781,1.527525232,1.154700538,0.163178488,0.352505823,0.104972776
5,11,1,6.666666667,1,0.090909091,0.606060606,0.090909091,0,2.516611478,1,0,0.377491722,0.090909091
6,5,4.5,5,4.666666667,0.9,1,0.933333333,0.707106781,0,0.577350269,0.141421356,0,0.115470054
7,6,5,4.333333333,3.666666667,0.833333333,0.722222222,0.611111111,1.414213562,0.577350269,0.577350269,0.326356976,0.133234678,0.096225045
8,6,1.5,2.666666667,1.333333333,0.25,0.444444444,0.222222222,0.707106781,0.577350269,0.577350269,0.265165043,0.216506351,0.096225045
9,15,9.5,13.33333333,10.33333333,0.633333333,0.888888889,0.688888889,2.121320344,1.527525232,0.577350269,0.159099026,0.114564392,0.038490018
10,7,3.5,4.666666667,3.333333333,0.5,0.666666667,0.476190476,0.707106781,0.577350269,2.081665999,0.151522882,0.123717915,0.297380857
1,8,6,6,5.333333333,0.75,0.75,0.666666667,1.414213562,0,0.577350269,0.23570226,0,0.072168784
2,5,4.5,4.666666667,5,0.9,0.933333333,1,0.707106781,0.577350269,0,0.151522882,0.123717915,0
3,14,4.5,9,5,0.321428571,0.642857143,0.357142857,0.707106781,1.732050808,1,0.07856742,0.19245009,0.071428571
4,11,9,8.333333333,5.666666667,0.818181818,0.757575758,0.515151515,0,0.577350269,2.309401077,0,0.069282032,0.209945552
5,11,1,1.333333333,0.333333333,0.090909091,0.121212121,0.03030303,0,1.527525232,0.577350269,0,1.145643924,0.052486388
6,5,4,5,5,0.8,1,1,0,0,0,0,0,0
7,6,4,4.666666667,4,0.666666667,0.777777778,0.666666667,0,0.577350269,1,0,0.123717915,0.166666667
8,6,4,3.333333333,2,0.666666667,0.555555556,0.333333333,0,1.154700538,1,0,0.346410162,0.166666667
9,15,9.5,11.33333333,10.66666667,0.633333333,0.755555556,0.711111111,2.121320344,1.154700538,2.081665999,0.187175324,0.101885342,0.138777733
10,7,3,5,3.333333333,0.428571429,0.714285714,0.476190476,0,1.732050808,2.516611478,0,0.346410162,0.359515926
