Question,Total_Marks,Human_Grade,GPT_Grade_NM,GPT_Grade_M,Normal_HG,Normal_GPT_NM,Normal_GPT_M,std_dev_HG,std_dev_GPT_NM,std_dev_GPT_M,Norm_std_dev_HG,Norm_std_dev_GPT_NM,Norm_std_dev_GPT_M
1,5,4,5,5,0.8,1,1,0,0,0,0,0,0
2,4,4,4,4,1,1,1,0,0,0,0,0,0
3,9,9,8.333333333,8.666666667,1,0.925925926,0.962962963,0,1.154700538,0.577350269,0,0.12830006,0.06415003
4,20,15,17.66666667,19.33333333,0.75,0.883333333,0.966666667,0,0.577350269,1.154700538,0,0.028867513,0.057735027
5,7,5,5.666666667,5.666666667,0.714285714,0.80952381,0.80952381,1.414213562,0.577350269,1.154700538,0.202030509,0.08247861,0.16495722
6,17,10,12.66666667,9.333333333,0.588235294,0.745098039,0.549019608,1.414213562,1.527525232,1.527525232,0.083189033,0.089854425,0.089854425
7,8,6,8,7.333333333,0.75,1,0.916666667,1.414213562,0,1.154700538,0.176776695,0,0.144337567
8,9,8,9,7.666666667,0.888888889,1,0.851851852,0,0,0.577350269,0,0,0.06415003
9,17,11.5,15,14,0.676470588,0.882352941,0.823529412,0.707106781,1,2.645751311,0.041594517,0.058823529,0.15563243
10,16,5,11,2,0.3125,0.6875,0.125,2.828427125,1,1,0.176776695,0.0625,0.0625
1,5,4.5,4.333333333,5,0.9,0.866666667,1,0.707106781,0.577350269,0,0.141421356,0.115470054,0
2,4,3.5,4,4,0.875,1,1,0.707106781,0,0,0.176776695,0,0
3,9,5.5,6.333333333,4.666666667,0.611111111,0.703703704,0.518518519,0.707106781,1.154700538,1.527525232,0.07856742,0.12830006,0.169725026
4,20,11,16.66666667,14.33333333,0.55,0.833333333,0.716666667,2.828427125,0.577350269,0.577350269,0.141421356,0.028867513,0.028867513
5,7,4,5.666666667,5,0.571428571,0.80952381,0.714285714,1.414213562,0.577350269,1,0.202030509,0.08247861,0.142857143
6,17,9.5,10.66666667,6,0.558823529,0.62745098,0.352941177,0.707106781,1.527525232,1,0.041594517,0.089854425,0.058823529
7,8,7.5,7.666666667,8,0.9375,0.958333333,1,0.707106781,0.577350269,0,0.088388348,0.072168784,0
8,9,8.5,7.333333333,6.333333333,0.944444444,0.814814815,0.703703704,0.707106781,0.577350269,0.577350269,0.07856742,0.06415003,0.06415003
9,17,12.5,16,15.33333333,0.735294118,0.941176471,0.901960784,0.707106781,1,0.577350269,0.041594517,0.058823529,0.033961781
10,16,3,8.666666667,1.333333333,0.1875,0.541666667,0.083333333,0,0.577350269,0.577350269,0,0.036084392,0.036084392
1,5,4,4.333333333,5,0.8,0.866666667,1,0,0.577350269,0,0,0.115470054,0
2,4,3.5,4,4,0.875,1,1,0.707106781,0,0,0.176776695,0,0
3,9,9,8,9,1,0.888888889,1,0,1,0,0,0.111111111,0
4,20,13.5,19.33333333,19.66666667,0.675,0.966666667,0.983333333,3.535533906,0.577350269,0.577350269,0.176776695,0.028867513,0.028867513
5,7,5,5.333333333,5.666666667,0.714285714,0.761904762,0.80952381,1.414213562,1.154700538,1.154700538,0.202030509,0.16495722,0.16495722
6,17,8.5,11.66666667,6.666666667,0.5,0.68627451,0.392156863,0.707106781,3.785938897,0.577350269,0.041594517,0.222702288,0.033961781
7,8,7,7,8,0.875,0.875,1,1.414213562,1,0,0.176776695,0.125,0
8,9,8.5,9,8.666666667,0.944444444,1,0.962962963,0.707106781,0,0.577350269,0.07856742,0,0.06415003
9,17,12,16.33333333,15,0.705882353,0.960784314,0.882352941,0,1.154700538,1.732050808,0,0.067923561,0.101885342
10,16,2,6.333333333,0.666666667,0.125,0.395833333,0.041666667,1.414213562,0.577350269,1.154700538,0.088388348,0.036084392,0.072168784
